Asplund Rasmus	4	0	0	0	0	0	0	0	8	6	1	19	20	0	2	0	0	0	2.75	11	256 000€
Eichel Jack	9	6	3	9	0	0	1	0	35	10	5	85	109	2	6	0	0	1	9.44	85	512 000€
Girgensons Zemgus	9	0	0	0	0	0	0	0	6	16	3	8	6	1	2	0	0	0	2.44	22	242 000€
Larsson Johan	6	1	0	1	0	0	0	0	9	9	3	24	39	3	4	0	0	0	4.00	24	250 500€
Lazar Curtis	5	1	0	1	0	0	0	0	2	10	4	4	3	-2	7	0	0	0	3.20	16	253 000€
Mittelstadt Casey	9	0	0	0	0	0	0	0	4	3	1	28	33	-5	0	0	0	0	-0.22	-2	248 000€
Olofsson Victor	9	1	5	6	0	0	0	0	26	1	4	0	0	0	0	1	0	0	5.78	52	357 500€
Reinhart Sam	9	3	3	6	0	0	0	0	18	10	1	2	4	-3	14	0	2	0	5.67	51	382 000€
Rodrigues Evan	7	0	2	2	0	0	0	0	14	4	1	40	35	-2	0	0	0	0	3.00	21	232 500€
Sheary Conor	9	0	2	2	0	0	0	0	15	7	9	0	0	2	0	0	0	0	4.00	36	292 500€
Skinner Jeff	9	1	2	3	0	0	0	0	28	3	0	7	20	-2	2	1	1	0	3.89	35	386 500€
Vesey Jimmy	8	0	0	0	0	0	0	0	14	3	1	0	1	-2	7	0	0	0	1.63	13	243 000€
Benn Jamie	9	4	3	7	0	0	2	1	26	17	9	39	19	7	6	0	0	2	11.67	105	481 000€
Cogliano Andrew	8	0	1	1	0	0	0	0	9	11	3	1	4	-1	6	0	0	0	2.50	20	250 000€
Comeau Blake	8	2	1	3	0	0	0	0	11	15	0	0	3	-1	8	0	0	0	4.50	36	256 000€
Dickinson Jason	9	3	4	7	0	0	0	0	14	8	6	25	27	8	2	0	1	0	8.00	72	300 000€
Dowling Justin	7	3	1	4	0	0	1	0	7	8	2	15	15	3	0	1	1	0	6.57	46	267 500€
Faksa Radek	9	4	5	9	0	0	1	0	20	7	5	50	71	5	8	1	1	1	9.11	82	318 000€
Gurianov Denis	9	2	3	5	0	0	1	0	23	8	4	0	0	4	5	0	0	1	7.11	64	306 500€
Janmark Mattias	5	2	1	3	0	1	0	0	3	2	2	1	2	3	2	0	0	0	6.00	30	265 000€
Pavelski Joe	9	2	4	6	0	0	0	0	21	4	10	77	52	2	4	1	0	0	7.67	69	405 500€
Perry Corey	9	2	4	6	0	0	0	0	13	2	6	1	0	4	4	1	1	0	6.78	61	357 500€
Radulov Alexander	9	2	1	3	0	0	0	0	20	7	11	2	6	3	12	0	0	0	5.56	50	396 000€
Seguin Tyler	9	3	7	10	0	0	1	0	36	6	3	68	45	6	4	0	0	1	11.22	101	497 500€
Athanasiou Andreas	11	5	6	11	0	0	0	0	32	9	6	9	7	-9	0	0	0	0	7.27	80	318 000€
Bertuzzi Tyler	11	5	4	9	0	0	0	0	23	8	3	1	0	1	4	0	1	0	7.27	80	404 000€
Ehn Christoffer	6	0	0	0	0	0	0	0	3	7	2	21	16	0	2	0	0	0	2.17	13	198 500€
Erne Adam	11	0	0	0	0	0	0	0	12	31	7	5	2	-4	4	0	0	0	2.82	31	241 000€
Fabbri Robby	7	3	5	8	0	0	1	0	13	7	1	5	7	-1	6	0	0	1	9.00	63	291 500€
Filppula Valtteri	11	2	5	7	1	0	0	0	11	3	6	77	65	-9	6	0	0	0	4.64	51	282 500€
Helm Darren	10	0	1	1	0	1	0	0	8	7	7	1	2	1	2	0	0	0	2.40	24	261 000€
Hirose Taro	6	1	0	1	0	0	0	0	3	2	3	0	5	-4	2	0	0	0	1.17	7	237 000€
Larkin Dylan	11	2	3	5	0	0	0	0	32	5	5	126	111	1	13	0	0	0	6.55	72	424 500€
Mantha Anthony	11	5	6	11	0	0	1	0	39	8	11	4	7	-2	6	0	0	1	9.00	99	478 000€
Nielsen Frans	10	0	1	1	0	1	0	0	13	5	6	35	47	-3	0	0	0	0	1.70	17	242 000€
Perlini Brendan	11	0	1	1	0	0	0	0	18	6	4	0	0	-3	4	0	0	0	2.27	25	243 500€
Armia Joel	10	1	2	3	0	0	0	0	25	25	4	0	1	0	2	0	0	0	5.20	52	382 500€
Byron Paul	7	1	1	2	0	0	0	0	3	9	3	0	1	3	0	0	0	0	4.14	29	254 000€
Cousins Nick	10	0	2	2	0	0	0	0	17	14	3	3	6	-2	2	0	0	0	2.70	27	284 500€
Danault Phillip	10	2	7	9	0	0	0	0	18	18	4	116	82	7	2	0	0	1	9.40	94	382 000€
