Braun Justin	11	0	0	0	0	0	0	0	9	18	17	0	0	-4	2	0	0	0	2.18	24	254 000€
Gostisbehere Shayne	11	0	2	2	0	0	0	0	13	6	9	0	0	-4	4	0	0	0	2.36	26	321 500€
Myers Philippe	10	3	3	6	0	0	0	0	14	19	10	0	0	8	8	1	0	0	10.30	103	338 500€
Niskanen Matt	11	0	4	4	0	0	0	0	19	27	12	0	0	-4	9	0	0	0	5.64	62	403 500€
Sanheim Travis	11	2	0	2	0	0	0	0	20	7	16	0	0	1	4	0	0	0	5.18	57	317 000€
Dahlin Rasmus	9	0	4	4	0	0	0	0	10	15	4	0	0	3	4	0	0	0	6.44	58	427 500€
Jokiharju Henri	9	2	1	3	0	0	0	0	12	9	6	0	0	-2	4	0	0	0	4.78	43	283 500€
McCabe Jake	9	0	1	1	0	0	0	0	13	11	6	0	0	-5	12	0	0	0	2.67	24	276 500€
Montour Brandon	8	2	1	3	0	0	0	0	24	9	7	0	0	4	6	0	0	0	8.00	64	335 000€
Ristolainen Rasmus	9	1	2	3	0	0	0	0	25	35	14	0	0	-3	20	0	0	0	6.78	61	410 500€
Chiarot Ben	10	2	4	6	0	0	1	0	21	19	15	0	0	1	2	0	1	0	9.10	91	368 500€
Fleury Cale	10	1	0	1	0	0	0	0	13	26	9	0	0	-3	0	0	0	0	3.30	33	258 000€
Kulak Brett	6	0	1	1	0	0	0	0	9	6	7	0	0	-3	4	0	0	0	3.00	18	243 000€
Mete Victor	10	2	1	3	0	0	0	0	18	5	11	0	0	2	8	0	0	1	6.30	63	319 500€
Petry Jeff	10	0	5	5	0	0	0	0	12	33	11	0	0	3	6	0	0	0	8.00	80	446 000€
Weber Shea	10	4	5	9	0	0	1	0	32	21	20	0	0	3	6	0	0	1	13.40	134	525 500€
Borowiecki Mark	11	1	5	6	0	0	0	0	17	42	18	0	0	7	13	0	0	0	10.64	117	407 500€
Chabot Thomas	11	0	4	4	0	0	0	0	21	12	9	0	0	-5	4	0	0	0	4.45	49	423 000€
DeMelo Dylan	11	0	0	0	0	0	0	0	18	21	10	0	0	5	6	0	0	0	4.73	52	308 000€
Hainsey Ron	11	1	2	3	0	0	1	0	8	7	10	0	0	0	2	0	0	0	4.36	48	283 000€
Zaitsev Nikita	11	0	3	3	0	0	0	0	9	12	23	0	0	-1	2	0	0	0	4.55	50	356 500€
Fedun Taylor	9	1	2	3	0	0	0	0	15	3	8	0	0	0	2	0	0	0	4.67	42	297 000€
Heiskanen Miro	9	3	6	9	0	0	0	0	29	2	18	0	0	10	2	2	1	0	14.11	127	482 500€
Lindell Esa	9	0	4	4	0	0	0	0	12	4	22	0	0	12	2	1	0	0	9.56	86	368 000€
Oleksiak Jamie	9	0	0	0	0	0	0	0	12	16	7	0	0	4	4	0	0	0	4.22	38	279 500€
Sekera Andrej	6	0	1	1	0	0	0	0	8	2	7	0	0	4	0	0	0	0	5.17	31	267 500€
Biega Alex	7	0	0	0	0	0	0	0	5	15	4	0	0	-1	2	0	0	0	2.00	14	217 000€
Bowey Madison	11	1	4	5	0	0	0	0	21	9	11	0	0	-5	8	1	0	0	5.00	55	268 000€
Cholowski Dennis	10	1	2	3	0	0	0	1	16	2	8	0	0	-4	0	0	0	1	4.00	40	286 500€
Green Mike	6	0	2	2	0	0	0	0	11	9	9	0	0	-6	0	0	0	0	3.00	18	306 500€
Hronek Filip	9	2	4	6	0	0	0	0	17	10	13	0	0	1	7	0	0	0	8.56	77	384 500€
McIlrath Dylan	8	0	0	0	0	0	0	0	9	23	7	0	0	0	12	0	0	0	4.00	32	242 000€
